country,co2_1990,co2_2020,absolute_change,percent_change
China,2484.855,10905.693,8420.838,338.88649438297205
United States,5120.957,4714.628,-406.32900000000063,-7.934630187287271
India,577.996,2421.552,1843.556,318.9565325711597
Russia,2536.248,1632.929,-903.319,-35.61635139781283
Japan,1157.393,1040.483,-116.91000000000008,-10.101149739111959
Iran,211.075,756.606,545.531,258.4536302262229
Germany,1054.796,648.357,-406.4390000000001,-38.53247452587989
Saudi Arabia,182.025,616.086,434.06100000000004,238.46229913473428
Indonesia,155.081,608.223,453.14199999999994,292.19698093254493
South Korea,250.511,597.634,347.12300000000005,138.56597115495927
